id,city,district
99901,臺北市,中正區
99902,臺北市,大同區
99903,臺北市,中山區
99904,臺北市,松山區
99905,臺北市,大安區
99906,臺北市,萬華區
99907,臺北市,信義區
99908,臺北市,士林區
99909,臺北市,北投區
99910,臺北市,內湖區
99911,臺北市,南港區
99912,臺北市,文山區
99913,新北市,萬里區
99914,新北市,金山區
99915,新北市,板橋區
99916,新北市,汐止區
99917,新北市,深坑區
99918,新北市,石碇區
99919,新北市,瑞芳區
99920,新北市,平溪區
99921,新北市,雙溪區
99922,新北市,貢寮區
99923,新北市,新店區
99924,新北市,坪林區
99925,新北市,烏來區
99926,新北市,永和區
99927,新北市,中和區
99928,新北市,土城區
99929,新北市,三峽區
99930,新北市,樹林區
99931,新北市,鶯歌區
99932,新北市,三重區
99933,新北市,新莊區
99934,新北市,泰山區
99935,新北市,林口區
99936,新北市,蘆洲區
99937,新北市,五股區
99938,新北市,八里區
99939,新北市,淡水區
99940,新北市,三芝區
99941,新北市,石門區
99942,桃園市,中壢區
99943,桃園市,平鎮區
99944,桃園市,龍潭區
99945,桃園市,楊梅區
99946,桃園市,新屋區
99947,桃園市,觀音區
99948,桃園市,桃園區
99949,桃園市,龜山區
99950,桃園市,八德區
99951,桃園市,大溪區
99952,桃園市,復興區
99953,桃園市,大園區
99954,桃園市,蘆竹區
99955,臺中市,中區
99956,臺中市,東區
99957,臺中市,南區
99958,臺中市,西區
99959,臺中市,北區
99960,臺中市,北屯區
99961,臺中市,西屯區
99962,臺中市,南屯區
99963,臺中市,太平區
99964,臺中市,大里區
99965,臺中市,霧峰區
99966,臺中市,烏日區
99967,臺中市,豐原區
99968,臺中市,后里區
99969,臺中市,石岡區
99970,臺中市,東勢區
99971,臺中市,和平區
99972,臺中市,新社區
99973,臺中市,潭子區
99974,臺中市,大雅區
99975,臺中市,神岡區
99976,臺中市,大肚區
99977,臺中市,沙鹿區
99978,臺中市,龍井區
99979,臺中市,梧棲區
99980,臺中市,清水區
99981,臺中市,大甲區
99982,臺中市,外埔區
99983,臺中市,大安區
99984,臺南市,中西區
99985,臺南市,東區
99986,臺南市,南區
99987,臺南市,北區
99988,臺南市,安平區
99989,臺南市,安南區
99990,臺南市,永康區
99991,臺南市,歸仁區
99992,臺南市,新化區
99993,臺南市,左鎮區
99994,臺南市,玉井區
99995,臺南市,楠西區
99996,臺南市,南化區
99997,臺南市,仁德區
99998,臺南市,關廟區
99999,臺南市,龍崎區
100000,臺南市,官田區
100001,臺南市,麻豆區
100002,臺南市,佳里區
100003,臺南市,西港區
100004,臺南市,七股區
100005,臺南市,將軍區
100006,臺南市,學甲區
100007,臺南市,北門區
